"Alteração de estado","A porta foi trancada","FECHADA_STATE_TRANCAR","2022-11-02T19:24:38.238519"
"Alteração estado","A porta foi destrancada","TRANCADA_STATE_DESTRANCAR","2022-11-02T19:30:37.974971"
"Alteração de estado","A porta foi trancada","FECHADA_STATE_TRANCAR","2022-11-02T19:30:37.984297"
"Alteração estado","A porta foi destrancada","TRANCADA_STATE_DESTRANCAR","2022-11-02T19:30:37.984670"
"Alteração de estado","A porta foi aberta","FECHADA_STATE_ABRIR","2022-11-02T19:30:37.985035"
"Alteração de estado","A porta foi trancada","ABERTA_STATE_FECHAR","2022-11-02T19:30:37.985358"
"Alteração de estado","A porta foi trancada","FECHADA_STATE_TRANCAR","2022-11-02T19:30:37.985620"
"Alteração de estado","A porta foi destrancada","TRANCADA_STATE_DESTRANCAR","2022-11-03T08:22:01.217458"
"Alteração de estado","A porta foi trancada","FECHADA_STATE_TRANCAR","2022-11-03T08:22:01.231396"
"Alteração de estado","A porta foi destrancada","TRANCADA_STATE_DESTRANCAR","2022-11-03T08:22:01.231731"
"Alteração de estado","A porta foi aberta","FECHADA_STATE_ABRIR","2022-11-03T08:22:01.231986"
"Alteração de estado","A porta foi trancada","ABERTA_STATE_FECHAR","2022-11-03T08:22:01.232279"
"Alteração de estado","A porta foi trancada","FECHADA_STATE_TRANCAR","2022-11-03T08:22:01.232508"
